           Time step        No. of steps              OpenMP time
                   1                  60              222346
                   2                  60              228010
                   3                  60              229113
                   4                  60              234233
                   5                  60              234562
                   6                  60              236704
                   7                  60              233553
                   8                  60              235754
                   9                  60              229362
                  10                  60              239462
                  11                  60              229765
                  12                  60              232313
                  13                  60              241118
                  14                  60              242728
                  15                  60              232529
                  16                  60              235707
                  17                  60              235292
                  18                  60              242483
                  19                  60              237169
                  20                  60              239971
                  21                  60              233503
                  22                  60              260714
                  23                  60              251318
                  24                  60              245846
                  25                  60              246271
                  26                  60              239295
                  27                  60              245498
                  28                  60              240594
                  29                  60              243898
                  30                  60              238941
                  31                  60              256622
                  32                  60              240917
                  33                  60              241931
                  34                  60              240877
                  35                  60              246808
                  36                  60              242309
                  37                  60              276315
                  38                  60              273909
                  39                  60              257908
                  40                  60              242335
                  41                  60              238443
                  42                  60              242281
                  43                  60              246269
                  44                  60              244198
                  45                  60              244914
                  46                  60              234920
                  47                  60              247146
                  48                  60              244398
                  49                  60              259851
                  50                  60              247099
                  51                  60              276276
                  52                  60              248797
                  53                  60              239612
                  54                  60              241530
                  55                  60              241036
                  56                  60              239503
                  57                  60              241835
                  58                  60              248532
                  59                  60              255090
                  60                  60              245011
